page_nos,article_title,article_link,article_hint,article_tags
1,7 Python Project Ideas for Beginners,https://www.geeksforgeeks.org/7-python-project-ideas-for-beginners/,"Python is an amazing programming language that can possibly be used in every field be it data science, software development, machine learning, automation, web scraping,… ","GBlog, Python"
1,Longest Non-Increasing Subsequence in a Binary String,https://www.geeksforgeeks.org/longest-non-increasing-subsequence-in-a-binary-string/,"Given a binary string S of size N, the task is to find the length of the longest non-increasing subsequence in the given string S.… ","binary-string, frequency-counting, prefix-sum, subsequence, Mathematical, Strings"
1,Maximum height of an elevation possible such that adjacent matrix cells have a difference of at most height 1,https://www.geeksforgeeks.org/maximum-height-of-an-elevation-possible-such-that-adjacent-matrix-cells-have-a-difference-of-at-most-height-1/,"Given a matrix mat][][] of size M x N which represents the topographic map of a region, and 0 denotes land and 1 denotes elevation,… ","BFS, Graph Traversals, Graph, Mathematical, Matrix"
1,Minimum degree of three nodes forming a triangle in a given Graph,https://www.geeksforgeeks.org/minimum-degree-of-three-nodes-forming-a-triangle-in-a-given-graph/,"Given an undirected graph consisting of N vertices and M edges and an array edges[][], with each row representing two vertices connected by an edge,… ","Graph Traversals, graph-connectivity, graph-cycle, Graph"
1,Number of substrings having an equal number of lowercase and uppercase letters,https://www.geeksforgeeks.org/number-of-substrings-having-an-equal-number-of-lowercase-and-uppercase-letters/,"Given string S consisting of lowercase and uppercase letters, the task is to find the number of substrings having the equal number of lowercase and… ","cpp-unordered_map, frequency-counting, HashTable, substring, Hash, Mathematical, Strings"
1,Maximum subarray sum possible after removing at most one subarray,https://www.geeksforgeeks.org/maximum-subarray-sum-possible-after-removing-at-most-one-subarray/,"Given an array arr[] consisting of N integers, the task is to find the maximum sum of any subarray possible after removing at most one… ","array-rearrange, Kadane, subarray, subarray-sum, Arrays, Dynamic Programming"
1,Numbers of pairs from an array whose average is also present in the array,https://www.geeksforgeeks.org/numbers-of-pairs-from-an-array-whose-average-is-also-present-in-the-array/,"Given an array arr[] consisting of N integers, the task is to count the number of distinct pairs (arr[i], arr[j]) in the array such that… ","frequency-counting, HashSet, Arrays, Hash, Mathematical, Searching"
1,Minimum difference possible between two given numbers by rearranging their digits in the same order,https://www.geeksforgeeks.org/minimum-difference-possible-between-two-given-numbers-by-rearranging-their-digits-in-the-same-order/,"Given two N-digit positive integers X and Y, the task is to find the minimum absolute difference between both the integers possible by rearranging the… ","number-digits, permutation, Arrays, Combinatorial, Mathematical"
1,Print all distinct even and odd prefix Bitwise XORs of first N natural numbers,https://www.geeksforgeeks.org/print-all-distinct-even-and-odd-prefix-bitwise-xors-of-first-n-natural-numbers/,"Given a positive integer N, the task is to print all the distinct even and odd values of prefix Bitwise XORs of first N natural… ","Bitwise-XOR, Natural Numbers, Bit Magic, Mathematical"
1,Minimum operations required to make all elements in an array of first N odd numbers equal,https://www.geeksforgeeks.org/minimum-operations-required-to-make-all-elements-in-an-array-of-first-n-odd-numbers-equal/,"Given an array consisting of first N odd numbers, the task is to find the minimum number of operations required to make all the array… ","array-rearrange, Natural Numbers, Arrays, Mathematical"
1,Best Practices to Write Clean Python Code,https://www.geeksforgeeks.org/best-practices-to-write-clean-python-code/,"Python is one of the most loved programming languages today. Shockingly, Python has overtaken Java in the list of top programming languages and is now… ","GBlog, Python"
1,Ratio of area of two nested polygons formed by connecting midpoints of sides of a regular N-sided polygon,https://www.geeksforgeeks.org/ratio-of-area-of-two-nested-polygons-formed-by-connecting-midpoints-of-sides-of-a-regular-n-sided-polygon/,"Given an N-sided polygon, the task is to find the ratio of the area of the Nth to (N + 1)th N-sided regular nested polygons… ","area-volume-programs, Coordinate Geometry, Geometric-Lines, Geometric, Mathematical"
1,Bitwise XOR of Bitwise AND of all pairs from two given arrays,https://www.geeksforgeeks.org/bitwise-xor-of-bitwise-and-of-all-pairs-from-two-given-arrays/,"Given two arrays arr1[] and arr2[] consisting of N and M integers respectively, the task is to print the Bitwise XOR of Bitwise AND of… ","Bitwise-AND, Picked, Arrays, Bit Magic, Mathematical"
1,Lexicographically largest permutation possible by a swap that is smaller than a given array,https://www.geeksforgeeks.org/lexicographically-largest-permutation-possible-by-a-swap-that-is-smaller-than-a-given-array/,"Given an array arr[] consisting of N integers, the task is to find the lexicographically largest permutation of the given array possible by exactly one… ","lexicographic-ordering, permutation, Arrays, Mathematical"
1,Amazon Interview Experience for SDE-2 | 4 Years Experienced,https://www.geeksforgeeks.org/amazon-interview-experience-for-sde-2-4-years-experienced/,Virtual Interviews I got a call from an Amazon recruiter via LinkedIn. She sent me the coding test link which I had to complete within… ,"Amazon, Marketing, Experienced, Interview Experiences"
2,EasyEcom Interview Experience | On-Campus 2021,https://www.geeksforgeeks.org/easyecom-interview-experience-on-campus-2021/,Round 1(Coding): 4 hr  Coding test consists of 5 coding problems. 3 Questions were based on the basic Data Structures and 2 are medium-level DS… ,"EasyEcom, Marketing, On-Campus, Interview Experiences"
2,Swiggy Interview Experience for SDE-1 | Off-Campus 2021,https://www.geeksforgeeks.org/swiggy-interview-experience-for-sde-1-off-campus-2021/,"Online Technical Test – This round was an online Hackerrank test consisting of 3 questions, out of which 1 was easy and 1 easy-medium, and… ","Marketing, Off-Campus, Swiggy, Interview Experiences"
2,How To Use Single Responsibility Principle in ReactJS?,https://www.geeksforgeeks.org/how-to-use-single-responsibility-principle-in-reactjs/,"If you’re a developer then surely you might have listened to SOLID Principles word several times in your programming career. In Software development, the SOLID… ","GBlog, ReactJS, Web Technologies"
2,Minimum removal of elements from end of an array required to obtain sum K,https://www.geeksforgeeks.org/minimum-removal-of-elements-from-end-of-an-array-required-to-obtain-sum-k/,"Given an integer K and an array A[] of size N, the task is to create a new array with sum K with minimum number… ","array-rearrange, sliding-window, subarray, subarray-sum, Arrays, Greedy, Mathematical"
